Time_Bands,Speciality_Name,Hospital_Group,Archive_Date,Total
< 1 Year,Cardio-Thoracic Surgery,Children's Health Ireland,2014-01-30T00:00:00Z,35
< 1 Year,Dental Surgery,Children's Health Ireland,2014-01-30T00:00:00Z,11
< 1 Year,Dermatology,Children's Health Ireland,2014-01-30T00:00:00Z,62
< 1 Year,General Surgery,Children's Health Ireland,2014-01-30T00:00:00Z,54
< 1 Year,Maxillo-Facial,Children's Health Ireland,2014-01-30T00:00:00Z,19
< 1 Year,Nephrology,Children's Health Ireland,2014-01-30T00:00:00Z,10
< 1 Year,Neurology,Children's Health Ireland,2014-01-30T00:00:00Z,7
< 1 Year,Ophthalmology,Children's Health Ireland,2014-01-30T00:00:00Z,94
< 1 Year,Orthopaedics,Children's Health Ireland,2014-01-30T00:00:00Z,430
> 1 Year,Orthopaedics,Children's Health Ireland,2014-01-30T00:00:00Z,19
< 1 Year,Otolaryngology (ENT),Children's Health Ireland,2014-01-30T00:00:00Z,276
< 1 Year,Paed Cardiology,Children's Health Ireland,2014-01-30T00:00:00Z,165
> 1 Year,Paed Cardiology,Children's Health Ireland,2014-01-30T00:00:00Z,1
< 1 Year,Paed Gastro-Enterol,Children's Health Ireland,2014-01-30T00:00:00Z,54
< 1 Year,Paediatric Respiratory Medicine,Children's Health Ireland,2014-01-30T00:00:00Z,29
< 1 Year,Paediatric Surgery,Children's Health Ireland,2014-01-30T00:00:00Z,28
< 1 Year,Paediatrics,Children's Health Ireland,2014-01-30T00:00:00Z,6
< 1 Year,Plastic Surgery,Children's Health Ireland,2014-01-30T00:00:00Z,88
< 1 Year,Respiratory Medicine,Children's Health Ireland,2014-01-30T00:00:00Z,198
> 1 Year,Respiratory Medicine,Children's Health Ireland,2014-01-30T00:00:00Z,2
< 1 Year,Rheumatology,Children's Health Ireland,2014-01-30T00:00:00Z,32
< 1 Year,Small Volume Specialities,Children's Health Ireland,2014-01-30T00:00:00Z,26
< 1 Year,Urology,Children's Health Ireland,2014-01-30T00:00:00Z,11
> 1 Year,Urology,Children's Health Ireland,2014-01-30T00:00:00Z,1
< 1 Year,Anaesthetics,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,390
< 1 Year,Cardio-Thoracic Surgery,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,138
< 1 Year,Cardiology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,213
< 1 Year,Dermatology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,47
< 1 Year,Gastro-Enterology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,1185
< 1 Year,General Medicine,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,202
< 1 Year,General Surgery,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,1948
> 1 Year,General Surgery,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,Geriatric Medicine,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,32
< 1 Year,Gynaecology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,178
< 1 Year,Haematology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,7
< 1 Year,Maxillo-Facial,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,335
< 1 Year,Nephrology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,11
< 1 Year,Neurology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,14
< 1 Year,Orthopaedics,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,1502
> 1 Year,Orthopaedics,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,8
< 1 Year,Otolaryngology (ENT),Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,1195
> 1 Year,Otolaryngology (ENT),Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,11
< 1 Year,Paediatric ENT,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,62
> 1 Year,Paediatric ENT,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,Paediatric Respiratory Medicine,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,35
< 1 Year,Paediatric Surgery,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,8
< 1 Year,Pain Relief,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,92
< 1 Year,Plastic Surgery,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,655
> 1 Year,Plastic Surgery,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,3
< 1 Year,Respiratory Medicine,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,18
< 1 Year,Rheumatology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,12
< 1 Year,Small Volume Specialities,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,20
< 1 Year,Urology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,559
> 1 Year,Urology,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,2
< 1 Year,Vascular Surgery,Dublin Midlands Hospital Group,2014-01-30T00:00:00Z,384
< 1 Year,Cardio-Thoracic Surgery,Ireland East Hospital Group,2014-01-30T00:00:00Z,107
> 1 Year,Cardio-Thoracic Surgery,Ireland East Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,Cardiology,Ireland East Hospital Group,2014-01-30T00:00:00Z,962
< 1 Year,Dental Surgery,Ireland East Hospital Group,2014-01-30T00:00:00Z,16
< 1 Year,Gastro-Enterology,Ireland East Hospital Group,2014-01-30T00:00:00Z,403
< 1 Year,General Medicine,Ireland East Hospital Group,2014-01-30T00:00:00Z,375
> 1 Year,General Medicine,Ireland East Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,General Surgery,Ireland East Hospital Group,2014-01-30T00:00:00Z,2127
> 1 Year,General Surgery,Ireland East Hospital Group,2014-01-30T00:00:00Z,5
< 1 Year,Gynaecology,Ireland East Hospital Group,2014-01-30T00:00:00Z,328
< 1 Year,Neurology,Ireland East Hospital Group,2014-01-30T00:00:00Z,22
< 1 Year,Obstetrics/Gynaecology,Ireland East Hospital Group,2014-01-30T00:00:00Z,359
< 1 Year,Ophthalmology,Ireland East Hospital Group,2014-01-30T00:00:00Z,2482
< 1 Year,Orthopaedics,Ireland East Hospital Group,2014-01-30T00:00:00Z,2317
> 1 Year,Orthopaedics,Ireland East Hospital Group,2014-01-30T00:00:00Z,2
< 1 Year,Otolaryngology (ENT),Ireland East Hospital Group,2014-01-30T00:00:00Z,483
< 1 Year,Pain Relief,Ireland East Hospital Group,2014-01-30T00:00:00Z,335
< 1 Year,Plastic Surgery,Ireland East Hospital Group,2014-01-30T00:00:00Z,242
< 1 Year,Respiratory Medicine,Ireland East Hospital Group,2014-01-30T00:00:00Z,63
< 1 Year,Rheumatology,Ireland East Hospital Group,2014-01-30T00:00:00Z,7
< 1 Year,Small Volume Specialities,Ireland East Hospital Group,2014-01-30T00:00:00Z,28
< 1 Year,Urology,Ireland East Hospital Group,2014-01-30T00:00:00Z,968
< 1 Year,Vascular Surgery,Ireland East Hospital Group,2014-01-30T00:00:00Z,69
< 1 Year,Cardiology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,262
< 1 Year,Clinical Immunology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,37
< 1 Year,Dermatology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,311
> 1 Year,Dermatology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,1
< 1 Year,Gastro-Enterology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,811
< 1 Year,General Medicine,RCSI  Hospitals Group,2014-01-30T00:00:00Z,112
< 1 Year,General Surgery,RCSI  Hospitals Group,2014-01-30T00:00:00Z,2790
> 1 Year,General Surgery,RCSI  Hospitals Group,2014-01-30T00:00:00Z,7
< 1 Year,Geriatric Medicine,RCSI  Hospitals Group,2014-01-30T00:00:00Z,77
< 1 Year,Gynaecology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,503
< 1 Year,Nephrology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,33
< 1 Year,Neurology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,48
< 1 Year,Neurosurgery,RCSI  Hospitals Group,2014-01-30T00:00:00Z,379
> 1 Year,Neurosurgery,RCSI  Hospitals Group,2014-01-30T00:00:00Z,36
< 1 Year,Orthopaedics,RCSI  Hospitals Group,2014-01-30T00:00:00Z,284
> 1 Year,Orthopaedics,RCSI  Hospitals Group,2014-01-30T00:00:00Z,2
< 1 Year,Otolaryngology (ENT),RCSI  Hospitals Group,2014-01-30T00:00:00Z,788
> 1 Year,Otolaryngology (ENT),RCSI  Hospitals Group,2014-01-30T00:00:00Z,6
< 1 Year,Pain Relief,RCSI  Hospitals Group,2014-01-30T00:00:00Z,311
> 1 Year,Pain Relief,RCSI  Hospitals Group,2014-01-30T00:00:00Z,2
< 1 Year,Plastic Surgery,RCSI  Hospitals Group,2014-01-30T00:00:00Z,487
> 1 Year,Plastic Surgery,RCSI  Hospitals Group,2014-01-30T00:00:00Z,28
