Time_Bands,Speciality_Name,2014.1,2014.2,2014.3,2014.4,2015.1,2015.2,2015.3,2015.4,2016.1,2016.2,2016.3,2016.4,2017.1,2017.2,2017.3,2017.4,2018.1,2018.2,2018.3,2018.4,2019.1,2019.2,2019.3,2019.4
<1Yr,Accident & Emergency,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0
<1Yr,Anaesthetics,252,246,242,226,238,232,245,254,248,248,256,200,206,184,185,195,204,162,163,161,158,139,149,146
<1Yr,Breast Surgery,73,107,121,109,100,112,116,105,106,134,127,127,125,129,141,120,117,123,125,117,128,125,123,116
<1Yr,Cardio-Thoracic Surgery,159,181,178,170,178,194,207,214,196,189,195,193,195,203,196,181,169,196,182,174,199,203,210,225
<1Yr,Cardiology,863,913,953,949,890,917,911,900,917,898,898,959,1005,989,1046,1068,1070,1074,1066,1031,1019,1024,1038,1036
<1Yr,Chemical Pathology,26,25,28,31,34,36,35,32,27,30,27,27,26,27,28,31,33,29,27,26,27,31,29,29
<1Yr,Child/Adolescent Psychiatry,7,11,13,17,21,23,12,15,21,23,23,24,24,24,24,15,19,21,23,24,24,23,22,16
<1Yr,Clinical (Medical) Genetics,45,42,43,41,50,46,57,61,67,67,61,58,82,127,128,119,114,110,104,95,63,61,55,55
<1Yr,Clinical Immunology,69,75,79,111,115,116,110,111,110,107,103,106,111,114,118,112,113,117,120,135,148,173,171,174
<1Yr,Clinical Neurophysiology,67,60,58,56,52,58,57,61,61,63,59,56,61,70,70,67,68,62,63,62,61,59,63,63
<1Yr,Clinical Pharmacology,10,20,19,16,19,15,18,17,18,20,13,14,13,9,12,8,13,12,12,12,15,18,20,17
<1Yr,Dental Surgery,104,88,97,111,128,116,114,121,121,121,129,120,123,114,114,103,140,123,138,146,121,135,127,132
<1Yr,Dermatology,1052,1038,1013,1042,893,861,878,872,863,873,898,879,907,917,954,966,949,979,991,957,923,885,900,849
<1Yr,Developmental Paediatrics,11,13,14,13,14,13,15,23,29,26,21,27,29,30,27,31,28,31,32,31,39,43,40,38
<1Yr,Diabetes Mellitus,156,137,150,151,152,155,146,148,139,151,159,167,165,175,181,185,182,183,181,191,180,179,188,178
<1Yr,Endocrinology,515,501,513,556,533,524,543,567,560,545,548,580,591,588,610,611,635,609,568,564,532,530,563,552
<1Yr,G.P. Medicine,1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<1Yr,Gastro-Enterology,582,631,673,703,691,682,720,775,770,765,772,760,781,828,857,856,898,920,889,884,938,949,981,1004
<1Yr,Gastro-Intestinal Surgery,87,82,102,129,176,202,220,210,206,202,202,189,175,164,152,164,189,179,181,185,192,207,218,221
<1Yr,General Medicine,1260,1258,1282,1297,1140,1126,1132,1147,1209,1232,1211,1164,1131,1117,1103,1122,1229,1193,1134,1110,1118,1070,1092,1103
<1Yr,General Surgery,2877,2888,2979,3051,2868,2918,2903,2914,2943,3028,2995,2990,3073,3060,3068,3069,3127,3144,3186,3025,3112,3099,3068,2984
<1Yr,Geriatric Medicine,341,321,321,275,289,323,325,299,299,295,310,295,323,325,304,285,298,290,290,278,313,299,299,293
<1Yr,Gynaecology,1490,1558,1577,1633,1549,1516,1511,1539,1561,1592,1615,1678,1716,1730,1724,1706,1751,1725,1734,1722,1754,1767,1772,1715
<1Yr,Haematology,409,398,414,413,436,450,449,444,462,469,485,478,485,480,473,480,497,512,494,494,496,506,513,522
<1Yr,Hepato-Biliary Surgery,59,69,79,77,96,92,89,72,76,84,77,84,92,100,96,98,83,88,99,86,90,86,71,73
<1Yr,Histopathology,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0
<1Yr,Immunology,34,53,54,55,57,63,68,68,62,57,65,62,64,56,63,55,57,58,56,51,43,43,47,53
<1Yr,Infectious Diseases,75,67,63,73,89,95,88,74,84,86,99,96,97,97,105,103,115,126,129,123,105,66,77,67
<1Yr,Maxillo-Facial,352,331,317,343,318,295,315,319,312,327,328,333,337,333,346,351,360,368,369,348,331,328,342,330
<1Yr,Metabolic Medicine,32,30,31,41,49,33,37,39,40,39,44,41,44,50,54,55,45,47,50,46,27,19,24,25
<1Yr,Neonatology,14,12,13,15,17,17,21,22,18,20,24,22,25,33,24,16,28,25,20,16,10,10,16,14
<1Yr,Nephrology,388,390,405,371,354,356,359,393,391,406,414,420,409,397,390,380,395,425,425,403,401,383,376,393
<1Yr,Neurology,685,634,633,631,579,596,608,609,597,584,590,620,627,622,618,634,653,655,637,651,665,633,591,580
<1Yr,Neurosurgery,180,186,190,174,150,150,138,144,149,152,166,158,151,141,147,139,147,142,145,151,143,125,132,121
<1Yr,Obstetrics,13,20,25,29,33,32,41,40,23,28,29,36,28,30,34,30,31,18,25,24,24,27,22,17
<1Yr,Obstetrics/Gynaecology,79,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<1Yr,Oncology,171,147,144,147,182,163,178,137,149,177,186,187,198,168,152,158,153,138,148,138,150,152,169,174
<1Yr,Ophthalmology,1089,1119,1156,1204,1072,1080,1070,1077,1097,1124,1110,1118,1137,1121,1125,1114,1120,1118,1119,1106,1055,1060,1067,1067
<1Yr,Oral Surgery,98,104,103,111,97,95,95,95,98,97,94,96,94,99,102,102,106,102,105,101,102,108,112,108
<1Yr,Orthopaedics,1975,2015,2026,2044,1845,1809,1832,1845,1843,1862,1828,1839,1897,1900,1923,1915,1924,1895,1868,1814,1796,1750,1752,1724
<1Yr,Other,114,110,96,73,57,55,78,82,90,84,36,59,53,60,90,69,56,64,37,8,20,12,6,0
<1Yr,Otolaryngology (ENT),1857,1910,2014,2021,1741,1713,1693,1708,1732,1724,1741,1738,1736,1707,1691,1684,1674,1683,1639,1607,1577,1549,1517,1502
<1Yr,Paed Cardiology,92,86,93,100,90,81,90,86,88,90,100,93,95,97,96,83,91,94,96,92,76,74,78,78
