Archive_Date,Hospital_Group,Hospital_HIPE,Hospital_Name,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,0-15,  0-3 Months,6
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,0-15,  3-6 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,0-15,  9-12 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,0-15, 12-15 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Day Case,Child,16-64,  0-3 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,0-15,  0-3 Months,7
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,0-15,  3-6 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,0-15,  9-12 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,0-15, 15-18 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0000,Small Volume Specialities,Inpatient,Child,16-64,  3-6 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,75
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,25
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,15
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,  9-12 Months,18
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15, 12-15 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15, 15-18 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,0-15,18+ Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,16-64,  0-3 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,16-64,  3-6 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Day Case,Child,16-64,  9-12 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,113
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,100
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,31
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,28
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,14
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15, 15-18 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,13
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,16-64,  0-3 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,16-64,  3-6 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,16-64,  9-12 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Inpatient,Child,16-64, 12-15 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Inpatient,Child,0-15,  3-6 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  6-9 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  9-12 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  0-3 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  9-12 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,127
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,77
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,46
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,25
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,25
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,9
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  6-9 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64,  9-12 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Day Case,Child,16-64, 12-15 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15,  0-3 Months,107
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Day Case,Child,0-15,  3-6 Months,67
