Archive_Date,Group,Hospital_HIPE,Hospital,Specialty_HIPE1,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15,15-18 Months,604
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,0601,Paediatric ENT,Child,0-15,18 Months +,1420
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,0-15, 0-3 Months,346
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64, 0-3 Months,8
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64, 3-6 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64, 6-9 Months,7
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64, 9-12 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1302,Paediatric Neurology,Child,16-64,12-15 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1402,Paediatric Neurosurgery,Child,16-64,15-18 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,0-15, 0-3 Months,662
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 0-3 Months,11
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 3-6 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 6-9 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64, 9-12 Months,11
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64,12-15 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1700,Ophthalmology,Child,16-64,18 Months +,120
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15, 0-3 Months,821
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15, 3-6 Months,644
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15, 6-9 Months,611
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15, 9-12 Months,429
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15,12-15 Months,286
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,0-15,18 Months +,573
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64, 3-6 Months,16
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1802,Paed Orthopaedic,Child,16-64,12-15 Months,26
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 6-9 Months,287
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15, 9-12 Months,239
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,0-15,18 Months +,202
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 0-3 Months,6
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 3-6 Months,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64, 9-12 Months,10
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1900,Paediatrics,Child,16-64,12-15 Months,7
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 3-6 Months,711
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15, 6-9 Months,607
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1902,Paed Cardiology,Child,0-15,12-15 Months,377
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1903,Paed Oncology,Child,0-15, 6-9 Months,2
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15,15-18 Months,20
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,0-15,18 Months +,17
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1905,Paed Endocrinology,Child,16-64, 0-3 Months,4
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15,15-18 Months,75
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,0-15,18 Months +,259
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1906,Paed Gastro-Enterol,Child,16-64, 0-3 Months,5
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15,15-18 Months,3
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,16-64,18 Months +,1
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Child,0-15, 0-3 Months,51
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Child,0-15, 3-6 Months,7
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 3-6 Months,87
30/01/2020,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 6-9 Months,49
